capability_id,example_question,question_type,required_sources,required_files,required_fields_or_sections,supported,support_level,limitations
cap_001,Which suppliers provide Product X?,structured,src_nist_supplychain,processed/supplier_products.csv; processed/suppliers.csv; processed/products.csv,supplier_id; product_id,true,full,NIST sample subset only.
cap_002,Which products does Supplier X provide?,structured,src_nist_supplychain,processed/supplier_products.csv; processed/products.csv,supplier_id; product_id,true,full,NIST sample subset only.
cap_003,Which suppliers are associated with Project X?,structured,src_worldbank_finances1; src_nist_supplychain,processed/supplier_projects.csv; processed/projects.csv,supplier_id; project_id,true,partial,"World Bank association is supplier-on-contract-for-project, not ownership or product supply."
cap_004,Which supplier has the most awards?,structured,src_ted_opendata; src_worldbank_finances1,processed/award_suppliers.csv; processed/procurement_awards.csv,supplier_id; award_id,true,partial,Counts reflect available selected subsets and source-specific award meaning.
cap_005,Which contract has the highest value within Currency X?,structured,src_ted_opendata; src_worldbank_finances1,processed/procurement_contracts.csv,contract_value; currency_code,true,partial,Only compare same currency; multi-supplier World Bank totals are intentionally blank.
cap_006,What is the average awarded value by category within the same currency?,structured,src_ted_opendata; src_worldbank_finances1,processed/procurement_awards.csv; processed/contract_awards.csv; processed/procurement_contracts.csv,award_value; currency_code; category_id,true,partial,Requires contract-award join; values only within currency and without inferred World Bank totals.
cap_007,What factors should be considered when evaluating a supplier?,document,src_uk_supplier_selection,pdf/normalized/uk_supplier_selection_normalized.pdf,Criteria; Risks and controls,true,partial,"Historic UK 2016 guidance; contextual reference, not current legal rule."
cap_008,What are the main procurement lifecycle steps?,document,src_finance_ni_contract; src_worldbank_procurement_training,pdf/normalized/finance_ni_contract_management_normalized.pdf; validation/pdf_reference_not_stored.csv,Process or procedure,true,partial,Contract-management focus; World Bank lifecycle document is URL-only.
cap_009,How should contract performance be monitored?,document,src_finance_ni_contract,pdf/normalized/finance_ni_contract_management_normalized.pdf,Process; Risks and controls,true,full,Applies as contextual Northern Ireland government guidance.
cap_010,What are common supply chain risks according to the selected guidance?,document,src_finance_ni_contract,pdf/normalized/finance_ni_contract_management_normalized.pdf,Risks and controls,true,partial,"Covers contract/supplier risks, not a complete supply-chain risk taxonomy."
cap_011,"Which supplier has the highest awarded value within a currency, and what factors should be considered when evaluating that supplier?",hybrid,src_ted_opendata; src_worldbank_finances1; src_uk_supplier_selection,processed/award_suppliers.csv; processed/procurement_awards.csv; pdf/normalized/uk_supplier_selection_normalized.pdf,supplier_id; awarded_value; currency_code; Criteria,true,partial,Document guidance is general and must not be treated as a fact about the named supplier.
cap_012,"Which suppliers are associated with Project X, and what selection criteria are recommended by the chosen procurement guidance?",hybrid,src_worldbank_finances1; src_uk_supplier_selection,processed/supplier_projects.csv; pdf/normalized/uk_supplier_selection_normalized.pdf,supplier_id; project_id; Criteria,true,partial,Association and general guidance are separate evidence layers; selection guidance is historic.
cap_013,"Which supplier has the most contracts, and what supplier management practices should be applied according to the official document?",hybrid,src_ted_opendata; src_worldbank_finances1; src_finance_ni_contract,processed/contract_suppliers.csv; pdf/normalized/finance_ni_contract_management_normalized.pdf,supplier_id; contract_id; Process; Risks and controls,true,partial,"Contract counts are subset-based; guidance is general, jurisdiction-specific and not supplier-specific."
