lot_id,source_lot_id,notice_id,procedure_id,lot_title,lot_description,lot_status,estimated_value,currency_code,category_id,source_id,source_file_id,source_record_id,collected_at
lot_00001,LOT-0001,not_0001,pro_0001,Planungs - und baubegleitende Vermessungsleistungen,Grundleistungen und besondere Leistungen aus dem gesamten LB Vermessung der FHH für Teilbereiche in den Quartieren,selec-w,,,cat_0001,src_ted_opendata,file_ted_0001,lot:LOT-0001,2026-08-19
lot_00002,LOT-0002,not_0001,pro_0001,Vermessungsleistungen zur Grundstücksentwicklung,Für die Grundstücksbildung und den Grundstücksverkauf können verschiedene Vermessungsleistungen in Anlehnung an das LB-Vermessung und in Verbindung mit der GebOVerm erforderlich sein.,selec-w,,,cat_0001,src_ted_opendata,file_ted_0001,lot:LOT-0002,2026-08-19
lot_00003,LOT-0003,not_0001,pro_0001,Aufmaß von Bestandsgebäuden,"Zu den Bestandsgebäuden zählen auch-Ingenieurbauwerke wie Gebäude, Brücken, Kaimauern, Warftwände und Stützmauern. Die Vermessungsergebnisse sind als DWG-Dateien und als PDF-Dateien zu dokumentieren.",selec-w,,,cat_0001,src_ted_opendata,file_ted_0001,lot:LOT-0003,2026-08-19
lot_00004,LOT-0004,not_0001,pro_0001,Bestandsvermessung Quartiere am Volkspark,siehe Leistungsbeschreibung,selec-w,,,cat_0001,src_ted_opendata,file_ted_0001,lot:LOT-0004,2026-08-19
lot_00005,LOT-0005,not_0001,pro_0001,Sonstige Vermessungsleistungen,Weitere Vermessungsleistungen,selec-w,,,cat_0001,src_ted_opendata,file_ted_0001,lot:LOT-0005,2026-08-19
lot_00006,LOT-0001,not_0002,pro_0002,Modernizacja oświetlenia ulicznego w Gminie Witonia,"1) wykonanie dokumentacji powykonawczej wykonanie projektu wykonawczego oraz uzgodnienie z lokalnym Operatorem Systemu Dystrybucyjnego – Energa Operator SA Rejon Kutno przed rozpoczęciem instalacji oraz zawarcie umowy z OSD o współpracy przy modernizacji oświetlenia drogowego i ulicznego, 2) demontaż 737 szt. istniejących opraw, 3) dostawa opraw oświetleniowych ulicznych LED, zgodnych ze złożoną ofertą, w miejsce prowadzenia prac instalacyjnych w ilości 737 szt. (posiadających możliwość zdalnego bezprzewodowego sterowania indywidualnie każdej oprawy), 4) instalację dostarczonych opraw oświetlenia zewnętrznego na wysięgnikach i słupach zgodnie z ""Opisem wymagań dotyczących wydajności i funkcjonalności Modernizacji oświetlenia ulicznego w Gminie Witonia” (załącznik nr 1 do SWZ, tabele), w ilości 737 szt., 5) uruchomienie systemu sterowania oświetleniem wraz z instalacją aplikacji do zarządzania systemem, 6) wykonanie pomiarów natężenia oświetlenia dla wskazanych przez Zamawiającego pięciu odcinków modernizowanego oświetlenia, 7) wykonanie projektów czasowej organizacji ruchu wraz z jej wprowadzeniem, jeśli są wymagane, 8) wykonanie dokumentacji powykonawczej.",selec-w,1158540,PLN,cat_0002,src_ted_opendata,file_ted_0002,lot:LOT-0001,2026-08-19
lot_00007,LOT-0000,not_0003,pro_0003,Gradbena dela na NN KBV Kastra 4 (DE Gorica),Gradbena dela na NN KBV Kastra 4 (DE Gorica),selec-w,49407.4000,EUR,cat_0003,src_ted_opendata,file_ted_0003,lot:LOT-0000,2026-08-19
lot_00008,LOT-0001,not_0004,pro_0004,Pakiet 16 Świadczenie usług serwisowania aparatury medycznej,Świadczenie usług serwisowania aparatury medycznej,clos-nw,,,cat_0005,src_ted_opendata,file_ted_0004,lot:LOT-0001,2026-08-19
lot_00009,LOT-0001,not_0005,pro_0005,ZP-107/2024,Zakup i wdrożenie kompleksowego systemu archiwizacji i dystrybucji danych obrazowych PACS wraz z dostawą infrastruktury,selec-w,,,cat_0006,src_ted_opendata,file_ted_0005,lot:LOT-0001,2026-08-19
lot_00010,LOT-0000,not_0006,pro_0006,Therapy level Co-60 radiation source into the GammaBeam X200 irradiator (Best Theratronics),The Therapy level Co-60 radiation source installed into the GammaBeam X200 irradiator (Best Theratronics) to be used by the Secondary Standard Dosimetry Laboratory (SSDL) of the Radiation and Nuclear Safety Authority of Finland.,selec-w,,,cat_0007,src_ted_opendata,file_ted_0006,lot:LOT-0000,2026-08-19
